Categorie;Ordre;Famille;Nom_EN;Nom_LT;Nom_FR;Url_EN;Url_FR
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Eurasian teal;Anas crecca;sarcelle d'hiver;https://en.wikipedia.org/wiki/Eurasian_teal;https://fr.wikipedia.org/wiki/Sarcelle_d%27hiver
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Green-winged teal;Anas carolinensis;sarcelle à ailes vertes;https://en.wikipedia.org/wiki/Green-winged_teal;https://fr.wikipedia.org/wiki/Sarcelle_%C3%A0_ailes_vertes
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Marbled teal;Marmaronetta angustirostris;sarcelle marbrée;https://en.wikipedia.org/wiki/Marbled_teal;https://fr.wikipedia.org/wiki/Marmaronette_marbr%C3%A9e
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Red-crested pochard;Netta rufina;nette rousse;https://en.wikipedia.org/wiki/Red-crested_pochard;https://fr.wikipedia.org/wiki/Nette_rousse
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Redhead;Aythya americana;fuligule à tête rouge;https://en.wikipedia.org/wiki/Redhead_(bird);https://fr.wikipedia.org/wiki/Fuligule_%C3%A0_t%C3%AAte_rouge
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Common pochard;Aythya ferina;fuligule milouin;https://en.wikipedia.org/wiki/Common_pochard;https://fr.wikipedia.org/wiki/Fuligule_milouin
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Ring-necked duck;Aythya collaris;fuligule à collier;https://en.wikipedia.org/wiki/Ring-necked_duck;https://fr.wikipedia.org/wiki/Fuligule_%C3%A0_collier
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Ferruginous duck;Aythya nyroca;fuligule nyroca;https://en.wikipedia.org/wiki/Ferruginous_duck;https://fr.wikipedia.org/wiki/Fuligule_nyroca
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Tufted duck;Aythya fuligula;fuligule morillon;https://en.wikipedia.org/wiki/Tufted_duck;https://fr.wikipedia.org/wiki/Fuligule_morillon
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Greater scaup;Aythya marila;fuligule milouinan;https://en.wikipedia.org/wiki/Greater_scaup;https://fr.wikipedia.org/wiki/Fuligule_milouinan
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Lesser scaup;Aythya affinis;petit Fuligule;https://en.wikipedia.org/wiki/Lesser_scaup;https://fr.wikipedia.org/wiki/Petit_Fuligule
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Steller's eider;Polysticta stelleri;eider de Steller;https://en.wikipedia.org/wiki/Steller%27s_eider;https://fr.wikipedia.org/wiki/Eider_de_Steller
Ducks, geese, and waterfowl;Anseriformes;Anatidae;King eider;Somateria spectabilis;eider à tête grise;https://en.wikipedia.org/wiki/King_eider;https://fr.wikipedia.org/wiki/Eider_%C3%A0_t%C3%AAte_grise
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Common eider;Somateria mollissima;eider à duvet;https://en.wikipedia.org/wiki/Common_eider;https://fr.wikipedia.org/wiki/Eider_%C3%A0_duvet
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Surf scoter;Melanitta perspicillata;macreuse à front blanc;https://en.wikipedia.org/wiki/Surf_scoter;https://fr.wikipedia.org/wiki/Macreuse_%C3%A0_front_blanc
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Velvet scoter;Melanitta fusca;macreuse brune;https://en.wikipedia.org/wiki/Velvet_scoter;https://fr.wikipedia.org/wiki/Macreuse_brune
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Stejneger's scoter;Melanitta stejnegeri;Macreuse de Sibérie;https://en.wikipedia.org/wiki/Stejneger%27s_scoter;https://fr.wikipedia.org/wiki/Macreuse_de_Sib%C3%A9rie
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Common scoter;Melanitta nigra;macreuse noire;https://en.wikipedia.org/wiki/Common_scoter;https://fr.wikipedia.org/wiki/Macreuse_noire
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Black scoter;Melanitta americana;macreuse à bec jaune;https://en.wikipedia.org/wiki/Black_scoter;https://fr.wikipedia.org/wiki/Macreuse_%C3%A0_bec_jaune
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Long-tailed duck;Clangula hyemalis;harelde kakawi;https://en.wikipedia.org/wiki/Long-tailed_duck;https://fr.wikipedia.org/wiki/Harelde_kakawi
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Bufflehead;Bucephala albeola;garrot albéole;https://en.wikipedia.org/wiki/Bufflehead;https://fr.wikipedia.org/wiki/Garrot_alb%C3%A9ole
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Common goldeneye;Bucephala clangula;garrot à oeil d'or;https://en.wikipedia.org/wiki/Common_goldeneye;https://fr.wikipedia.org/wiki/Garrot_%C3%A0_%C5%93il_d%27or
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Barrow's goldeneye;Bucephala islandica;garrot d'Islande;https://en.wikipedia.org/wiki/Barrow%27s_goldeneye;https://fr.wikipedia.org/wiki/Garrot_d%27Islande
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Smew;Mergellus albellus;harle piette;https://en.wikipedia.org/wiki/Smew;https://fr.wikipedia.org/wiki/Harle_piette
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Common merganser;Mergus merganser;harle bièvre;https://en.wikipedia.org/wiki/Common_merganser;https://fr.wikipedia.org/wiki/Harle_bi%C3%A8vre
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Red-breasted merganser;Mergus serrator;harle huppé;https://en.wikipedia.org/wiki/Red-breasted_merganser;https://fr.wikipedia.org/wiki/Harle_hupp%C3%A9
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Ruddy duck;Oxyura jamaicensis;érismature rousse;https://en.wikipedia.org/wiki/Ruddy_duck;https://fr.wikipedia.org/wiki/%C3%89rismature_rousse
Ducks, geese, and waterfowl;Anseriformes;Anatidae;White-headed duck;Oxyura leucocephala;érismature à tête blanche;https://en.wikipedia.org/wiki/White-headed_duck;https://fr.wikipedia.org/wiki/%C3%89rismature_%C3%A0_t%C3%AAte_blanche
New World quail;Galliformes;Odontophoridae;California quail;Callipepla californica;colin de Californie;https://en.wikipedia.org/wiki/California_quail;https://fr.wikipedia.org/wiki/Colin_de_Californie
Pheasants, grouse, and allies;Galliformes;Phasianidae;Hazel grouse;Tetrastes bonasia;gélinotte des bois;https://en.wikipedia.org/wiki/Hazel_grouse;https://fr.wikipedia.org/wiki/G%C3%A9linotte_des_bois
Pheasants, grouse, and allies;Galliformes;Phasianidae;Rock ptarmigan;Lagopus muta;lagopède alpin;https://en.wikipedia.org/wiki/Rock_ptarmigan;https://fr.wikipedia.org/wiki/Lagop%C3%A8de_alpin
Pheasants, grouse, and allies;Galliformes;Phasianidae;Western capercaillie;Tetrao urogallus;grand Tétras;https://en.wikipedia.org/wiki/Western_capercaillie;https://fr.wikipedia.org/wiki/Grand_T%C3%A9tras
Pheasants, grouse, and allies;Galliformes;Phasianidae;Black grouse;Lyrurus tetrix;tétras lyre;https://en.wikipedia.org/wiki/Black_grouse;https://fr.wikipedia.org/wiki/T%C3%A9tras_lyre
Pheasants, grouse, and allies;Galliformes;Phasianidae;Gray partridge;Perdix perdix;perdrix grise;https://en.wikipedia.org/wiki/Gray_partridge;https://fr.wikipedia.org/wiki/Perdrix_grise
Pheasants, grouse, and allies;Galliformes;Phasianidae;Reeves's pheasant;Syrmaticus reevesii;faisan vénéré;https://en.wikipedia.org/wiki/Reeves%27s_pheasant;https://fr.wikipedia.org/wiki/Faisan_v%C3%A9n%C3%A9r%C3%A9
Pheasants, grouse, and allies;Galliformes;Phasianidae;Ring-necked pheasant;Phasianus colchicus;faisan de Colchide;https://en.wikipedia.org/wiki/Ring-necked_pheasant;https://fr.wikipedia.org/wiki/Faisan_de_Colchide
Pheasants, grouse, and allies;Galliformes;Phasianidae;Common quail;Coturnix coturnix;caille des blés;https://en.wikipedia.org/wiki/Common_quail;https://fr.wikipedia.org/wiki/Caille_des_bl%C3%A9s
Pheasants, grouse, and allies;Galliformes;Phasianidae;Barbary partridge;Alectoris barbara;Perdrix gambra;https://en.wikipedia.org/wiki/Barbary_partridge;https://fr.wikipedia.org/wiki/Perdrix_gambra
Pheasants, grouse, and allies;Galliformes;Phasianidae;Red-legged partridge;Alectoris rufa;perdrix rouge;https://en.wikipedia.org/wiki/Red-legged_partridge;https://fr.wikipedia.org/wiki/Perdrix_rouge
Pheasants, grouse, and allies;Galliformes;Phasianidae;Rock partridge;Alectoris graeca;perdrix bartavelle;https://en.wikipedia.org/wiki/Rock_partridge;https://fr.wikipedia.org/wiki/Perdrix_bartavelle
Flamingos;Phoenicopteriformes;Phoenicopteridae;Greater flamingo;Phoenicopterus roseus;flamant rose;https://en.wikipedia.org/wiki/Greater_flamingo;https://fr.wikipedia.org/wiki/Flamant_rose
Flamingos;Phoenicopteriformes;Phoenicopteridae;Lesser flamingo;Phoeniconaias minor;Flamant nain;https://en.wikipedia.org/wiki/Lesser_flamingo;https://fr.wikipedia.org/wiki/Flamant_nain
Grebes;Podicipediformes;Podicipedidae;Little grebe;Tachybaptus ruficollis;grèbe castagneux;https://en.wikipedia.org/wiki/Little_grebe;https://fr.wikipedia.org/wiki/Gr%C3%A8be_castagneux
Grebes;Podicipediformes;Podicipedidae;Pied-billed grebe;Podilymbus podiceps;grèbe à bec bigarré;https://en.wikipedia.org/wiki/Pied-billed_grebe;https://fr.wikipedia.org/wiki/Gr%C3%A8be_%C3%A0_bec_bigarr%C3%A9
Grebes;Podicipediformes;Podicipedidae;Horned grebe;Podiceps auritus;grèbe esclavon;https://en.wikipedia.org/wiki/Horned_grebe;https://fr.wikipedia.org/wiki/Gr%C3%A8be_esclavon
Grebes;Podicipediformes;Podicipedidae;Red-necked grebe;Podiceps grisegena;grèbe jougris;https://en.wikipedia.org/wiki/Red-necked_grebe;https://fr.wikipedia.org/wiki/Gr%C3%A8be_jougris
Grebes;Podicipediformes;Podicipedidae;Great crested grebe;Podiceps cristatus;grèbe huppé;https://en.wikipedia.org/wiki/Great_crested_grebe;https://fr.wikipedia.org/wiki/Gr%C3%A8be_hupp%C3%A9
Grebes;Podicipediformes;Podicipedidae;Eared grebe;Podiceps nigricollis;grèbe à cou noir;https://en.wikipedia.org/wiki/Eared_grebe;https://fr.wikipedia.org/wiki/Gr%C3%A8be_%C3%A0_cou_noir
Pigeons and doves;Columbiformes;Columbidae;Rock pigeon;Columba livia;pigeon biset;https://en.wikipedia.org/wiki/Rock_pigeon;https://fr.wikipedia.org/wiki/Pigeon_biset
Pigeons and doves;Columbiformes;Columbidae;Stock dove;Columba oenas;pigeon colombin;https://en.wikipedia.org/wiki/Stock_dove;https://fr.wikipedia.org/wiki/Pigeon_colombin
Pigeons and doves;Columbiformes;Columbidae;Common wood-pigeon;Columba palumbus;pigeon ramier;https://en.wikipedia.org/wiki/Common_wood-pigeon;https://fr.wikipedia.org/wiki/Pigeon_ramier
Pigeons and doves;Columbiformes;Columbidae;European turtle-dove;Streptopelia turtur;tourterelle des bois;https://en.wikipedia.org/wiki/European_turtle-dove;https://fr.wikipedia.org/wiki/Tourterelle_des_bois
Pigeons and doves;Columbiformes;Columbidae;Oriental turtle-dove;Streptopelia orientalis;tourterelle orientale;https://en.wikipedia.org/wiki/Oriental_turtle-dove;https://fr.wikipedia.org/wiki/Tourterelle_orientale
Pigeons and doves;Columbiformes;Columbidae;Eurasian collared-dove;Streptopelia decaocto;tourterelle turque;https://en.wikipedia.org/wiki/Eurasian_collared-dove;https://fr.wikipedia.org/wiki/Tourterelle_turque
Sandgrouse;Pterocliformes;Pteroclidae;Pallas's sandgrouse;Syrrhaptes paradoxus;syrrhapte paradoxal;https://en.wikipedia.org/wiki/Pallas%27s_sandgrouse;https://fr.wikipedia.org/wiki/Syrrhapte_paradoxal
Sandgrouse;Pterocliformes;Pteroclidae;Pin-tailed sandgrouse;Pterocles alchata;ganga cata;https://en.wikipedia.org/wiki/Pin-tailed_sandgrouse;https://fr.wikipedia.org/wiki/Ganga_cata
Bustards;Otidiformes;Otididae;Great bustard;Otis tarda;grande Outarde;https://en.wikipedia.org/wiki/Great_bustard;https://fr.wikipedia.org/wiki/Grande_Outarde
Bustards;Otidiformes;Otididae;MacQueen's bustard;Chlamydotis macqueenii;outarde de Macqueen;https://en.wikipedia.org/wiki/MacQueen%27s_bustard;https://fr.wikipedia.org/wiki/Outarde_de_Macqueen
Bustards;Otidiformes;Otididae;Little bustard;Tetrax tetrax;outarde canepetière;https://en.wikipedia.org/wiki/Little_bustard;https://fr.wikipedia.org/wiki/Outarde_canepeti%C3%A8re
Cuckoos;Cuculiformes;Cuculidae;Great spotted cuckoo;Clamator glandarius;coucou geai;https://en.wikipedia.org/wiki/Great_spotted_cuckoo;https://fr.wikipedia.org/wiki/Coucou_geai
